Chrom.1		
UV		
ml	mAU	
0.001	0.01502837	
0.002	0.01482125	
0.004	0.01383268	
0.005	0.01316113	
0.007	0.01344898	
0.008	0.0137835	
0.01	0.01428232	
0.011	0.01371258	
0.013	0.01272518	
0.014	0.01322614	
0.016	0.013563	
0.017	0.01361222	
0.019	0.01390822	
0.02	0.01364118	
0.022	0.01297867	
0.023	0.012994	
0.025	0.01385127	
0.026	0.01377945	
0.028	0.01341542	
0.029	0.01333581	
0.031	0.0134647	
0.032	0.01363742	
0.034	0.0130957	
0.035	0.01284785	
0.037	0.0124643	
0.038	0.01235567	
0.04	0.01346662	
0.041	0.01407464	
0.043	0.01420576	
0.044	0.01521698	
0.046	0.01630958	
0.047	0.01677946	
0.049	0.01794188	
0.05	0.01869582	
0.052	0.01899112	
0.053	0.02046941	
0.055	0.02136285	
0.056	0.02194759	
0.058	0.02319674	
0.059	0.02428951	
0.061	0.02509831	
0.062	0.02586458	
0.064	0.02576876	
0.065	0.0256827	
0.067	0.02565404	
0.068	0.02611675	
0.07	0.02708097	
0.071	0.02810839	
0.073	0.02895055	
0.074	0.02959124	
0.076	0.02965332	
0.077	0.03093586	
0.079	0.03275441	
0.08	0.03546224	
0.082	0.03710981	
0.083	0.03764306	
0.085	0.03805023	
0.086	0.03966554	
0.088	0.04104456	
0.089	0.04148895	
0.091	0.04110775	
0.092	0.04138732	
0.094	0.04143747	
0.095	0.04171534	
0.097	0.04262635	
0.098	0.04351506	
0.1	0.04370109	
0.101	0.04448884	
0.103	0.04481712	
0.104	0.04508398	
0.106	0.04641632	
0.107	0.04725165	
0.109	0.04838002	
0.11	0.04972196	
0.112	0.04976232	
0.113	0.05046881	
0.115	0.0505713	
0.116	0.05027897	
0.118	0.05032751	
0.119	0.04998666	
0.121	0.04944317	
0.122	0.04864112	
0.124	0.04742726	
0.125	0.04659845	
0.127	0.04661389	
0.128	0.04566015	
0.13	0.04520093	
0.131	0.04400835	
0.133	0.04267441	
0.134	0.04264162	
0.136	0.04232805	
0.137	0.04175141	
0.139	0.04187737	
0.14	0.04108987	
0.142	0.04058332	
0.143	0.03957348	
0.145	0.03858098	
0.146	0.03758515	
0.147	0.0372977	
0.149	0.03629136	
0.15	0.03569284	
0.152	0.03412883	
0.153	0.03222109	
0.155	0.02951192	
0.156	0.02777362	
0.158	0.02718923	
0.159	0.02745565	
0.161	0.02701608	
0.162	0.0259568	
0.164	0.0251225	
0.165	0.02545201	
0.167	0.02662257	
0.168	0.02723062	
0.17	0.02714239	
0.171	0.02661243	
0.173	0.0256532	
0.174	0.02582062	
0.176	0.02578628	
0.177	0.02542282	
0.179	0.02607644	
0.18	0.02617105	
0.182	0.02607317	
0.183	0.02562363	
0.185	0.02475808	
0.186	0.02559806	
0.188	0.02600288	
0.189	0.02581142	
0.191	0.02558313	
0.192	0.02653462	
0.194	0.02702529	
0.195	0.02794413	
0.197	0.02855194	
0.198	0.02979669	
0.2	0.03057757	
0.201	0.03119322	
0.203	0.0319419	
0.204	0.03250007	
0.206	0.03467856	
0.207	0.03605044	
0.209	0.03689131	
0.21	0.03802761	
0.212	0.04068127	
