Chrom.1		
UV		
ml	mAU	
0.001	0.1123645	
0.002	0.1099971	
0.004	0.1097087	
0.005	0.1111611	
0.007	0.111141	
0.008	0.1121766	
0.01	0.112533	
0.011	0.1114285	
0.013	0.1126251	
0.014	0.1134889	
0.016	0.1142146	
0.017	0.1153558	
0.019	0.1161056	
0.02	0.1164601	
0.022	0.1173656	
0.023	0.1175519	
0.025	0.1178654	
0.026	0.1185789	
0.028	0.1190908	
0.029	0.1195885	
0.031	0.1198939	
0.032	0.1202668	
0.034	0.1200351	
0.035	0.1197302	
0.037	0.1195137	
0.038	0.1187607	
0.04	0.1180965	
0.041	0.1176208	
0.043	0.1163354	
0.044	0.1153942	
0.046	0.1150454	
0.047	0.115237	
0.049	0.1148082	
0.05	0.1145138	
0.052	0.1144142	
0.053	0.1137746	
0.055	0.1133875	
0.056	0.1132375	
0.058	0.1125238	
0.059	0.1119707	
0.061	0.112092	
0.062	0.1124401	
0.064	0.1131917	
0.065	0.1137603	
0.067	0.1144412	
0.068	0.1148541	
0.07	0.1147773	
0.071	0.114844	
0.073	0.114578	
0.074	0.1140607	
0.076	0.1134275	
0.077	0.1123081	
0.079	0.1121517	
0.08	0.1116405	
0.082	0.11015	
0.083	0.109756	
0.084	0.1098411	
0.086	0.11034	
0.087	0.1094582	
0.089	0.108985	
0.09	0.1080696	
0.092	0.1066927	
0.093	0.1053647	
0.095	0.1043802	
0.096	0.1028871	
0.098	0.1019824	
0.099	0.1014696	
0.101	0.1004416	
0.102	0.09876142	
0.104	0.09751114	
0.105	0.09612713	
0.107	0.0938053	
0.108	0.09216783	
0.11	0.09099529	
0.111	0.08997604	
0.113	0.08967243	
0.114	0.08965193	
0.116	0.08898385	
0.117	0.08788829	
0.119	0.08721278	
0.12	0.08640399	
0.122	0.08583255	
0.123	0.08456299	
0.125	0.08306946	
0.126	0.08171786	
0.128	0.08082607	
0.129	0.07980652	
0.131	0.07804819	
0.132	0.0773434	
0.134	0.07673183	
0.135	0.07528502	
0.137	0.07388104	
0.138	0.07235286	
0.14	0.07046105	
0.141	0.06912562	
0.143	0.06845888	
0.144	0.06811716	
0.146	0.06777613	
0.147	0.06744006	
0.149	0.06687616	
0.15	0.06634653	
0.152	0.06615166	
0.153	0.06465845	
0.155	0.06330202	
0.156	0.06293146	
0.158	0.06131319	
0.159	0.05843235	
0.161	0.05573341	
0.162	0.0534338	
0.164	0.05128515	
0.165	0.04989783	
0.167	0.04826989	
0.168	0.04785192	
0.17	0.04691673	
0.171	0.04625293	
0.173	0.04489971	
0.174	0.04257684	
0.176	0.04106304	
0.177	0.04122818	
0.179	0.03997486	
0.18	0.03868479	
0.182	0.0382243	
0.183	0.03856723	
0.185	0.03849983	
0.186	0.03860807	
0.188	0.03881514	
0.189	0.03879268	
0.191	0.03932384	
0.192	0.04098137	
0.194	0.04269911	
0.195	0.04490133	
0.197	0.04669545	
0.198	0.04943286	
0.2	0.05252907	
0.201	0.05585973	
0.203	0.06021296	
0.204	0.0668458	
0.206	0.07632224	
