Chrom.1		
UV		
ml	mAU	
0.001	0.02147684	
0.002	0.01939522	
0.004	0.01947099	
0.005	0.01844677	
0.007	0.01853806	
0.008	0.01863436	
0.01	0.0186423	
0.011	0.01876965	
0.013	0.01897929	
0.014	0.01953616	
0.016	0.01979788	
0.017	0.02036587	
0.019	0.02152576	
0.02	0.02221326	
0.022	0.02239959	
0.023	0.02338862	
0.025	0.02438187	
0.026	0.02438971	
0.028	0.02486181	
0.029	0.02433755	
0.031	0.02358628	
0.032	0.02398892	
0.034	0.02318301	
0.035	0.02166845	
0.037	0.0213386	
0.038	0.0208682	
0.04	0.02002442	
0.041	0.01981041	
0.043	0.01979309	
0.044	0.02014856	
0.046	0.02028775	
0.047	0.02002314	
0.049	0.02014944	
0.05	0.02083855	
0.052	0.02021606	
0.053	0.02044916	
0.055	0.02124785	
0.056	0.02241256	
0.058	0.02306387	
0.059	0.02512394	
0.061	0.0255901	
0.062	0.0256383	
0.064	0.02639236	
0.065	0.02580301	
0.067	0.0250196	
0.068	0.02492483	
0.07	0.02608114	
0.071	0.02604736	
0.073	0.02641394	
0.074	0.02781424	
0.076	0.02944268	
0.077	0.03003427	
0.079	0.03063468	
0.08	0.0315582	
0.082	0.03158747	
0.083	0.03123988	
0.085	0.03082019	
0.086	0.03018693	
0.088	0.02907611	
0.089	0.02829939	
0.091	0.02870596	
0.092	0.02852398	
0.094	0.0276336	
0.095	0.02740962	
0.097	0.02722668	
0.098	0.02666892	
0.1	0.02623331	
0.101	0.02593569	
0.103	0.02565497	
0.104	0.02560199	
0.106	0.02577476	
0.107	0.02524669	
0.108	0.02536119	
0.11	0.02589618	
0.111	0.02632067	
0.113	0.02639132	
0.114	0.02790971	
0.116	0.02890419	
0.117	0.02889523	
0.119	0.0287301	
0.12	0.02867095	
0.122	0.02858981	
0.123	0.02797453	
0.125	0.02704534	
0.126	0.02697018	
0.128	0.02773855	
0.129	0.02690133	
0.131	0.0257863	
0.132	0.02486183	
0.134	0.02316569	
0.135	0.02267828	
0.137	0.02243587	
0.138	0.02252802	
0.14	0.02311231	
0.141	0.02425747	
0.143	0.02506781	
0.144	0.02486532	
0.146	0.02431524	
0.147	0.02396948	
0.149	0.02335113	
0.15	0.02187417	
0.152	0.02094752	
0.153	0.0200238	
0.155	0.01912838	
0.156	0.01918024	
0.158	0.01916757	
0.159	0.01986613	
0.161	0.02091214	
0.162	0.02113182	
0.164	0.02149938	
0.165	0.02123655	
0.167	0.02112796	
0.168	0.02125397	
0.17	0.02108194	
0.171	0.02039292	
0.173	0.01991786	
0.174	0.01994006	
0.176	0.02036651	
0.177	0.02119751	
0.179	0.02154311	
0.18	0.02164804	
0.182	0.02143515	
0.183	0.0207412	
0.185	0.02056479	
0.186	0.02026493	
0.188	0.02016211	
0.189	0.01884131	
0.191	0.01808113	
0.192	0.01831106	
0.194	0.01828791	
0.195	0.01806399	
0.197	0.01801956	
0.198	0.01846252	
0.2	0.01901477	
0.201	0.01994583	
0.203	0.02080447	
0.204	0.02160867	
0.206	0.0226391	
0.207	0.02359994	
0.209	0.02525091	
0.21	0.0278689	
0.212	0.03099769	
0.213	0.03363317	
0.215	0.03592876	
0.216	0.03837006	
0.218	0.04143693	
0.219	0.04526139	
0.221	0.0485381	
0.222	0.05154055	
0.224	0.05616831	
0.225	0.06033956	
0.227	0.06376841	
0.228	0.06698618	
0.23	0.06981415	
0.231	0.07248735	
0.233	0.07609478	
0.234	0.07903204	
0.236	0.08200512	
0.237	0.08575109	
0.239	0.08921564	
0.24	0.093058	
0.242	0.09614692	
0.243	0.09870864	
0.245	0.101344	
0.246	0.1044789	
0.248	0.1076963	
0.249	0.1103529	
0.251	0.1133452	
0.252	0.1163066	
0.254	0.1190509	
0.255	0.1218873	
0.257	0.1241786	
0.258	0.1270616	
0.26	0.1297208	
0.261	0.1316841	
0.263	0.1334584	
0.264	0.135169	
0.266	0.1368808	
0.267	0.1381111	
0.269	0.1397249	
0.27	0.1417195	
0.272	0.1437354	
0.273	0.1452727	
0.275	0.1467177	
0.276	0.1480283	
0.278	0.148996	
0.279	0.149967	
0.281	0.1510651	
0.282	0.1517794	
0.284	0.1516531	
0.285	0.1505213	
0.287	0.1485797	
0.288	0.1460946	
0.29	0.1434442	
0.291	0.1412479	
0.293	0.1391667	
0.294	0.1362522	
0.296	0.1341331	
0.297	0.132128	
0.299	0.129132	
0.3	0.1262353	
0.302	0.124193	
0.303	0.1225647	
0.305	0.1211559	
0.306	0.1187168	
0.308	0.117067	
0.309	0.1165254	
0.311	0.1155869	
0.312	0.1131629	
0.314	0.1103376	
0.315	0.1071436	
0.317	0.1035524	
0.318	0.10076	
0.32	0.09871013	
0.321	0.09634237	
0.323	0.09457876	
0.324	0.0928507	
0.326	0.0899039	
0.327	0.08683541	
0.329	0.08420701	
0.33	0.08209372	
0.332	0.08050273	
0.333	0.07863645	
0.335	0.07715504	
0.336	0.07616919	
0.338	0.07527316	
0.339	0.0738873	
0.341	0.07200895	
0.342	0.07057553	
0.344	0.0697989	
0.345	0.06866352	
0.347	0.06693621	
0.348	0.0654847	
0.35	0.06389427	
0.351	0.06189793	
0.352	0.06024502	
0.354	0.05914112	
0.355	0.05772673	
0.357	0.05627678	
0.358	0.05553294	
0.36	0.05472213	
0.361	0.05340692	
0.363	0.05239193	
0.364	0.05258162	
0.366	0.05230066	
0.367	0.05046542	
0.369	0.04939617	
0.37	0.04896638	
0.372	0.04818679	
0.373	0.04744182	
0.375	0.0468888	
0.376	0.04593972	
0.378	0.04465548	
0.379	0.04369871	
0.381	0.04288182	
0.382	0.04028083	
0.384	0.03702224	
0.385	0.03514546	
0.387	0.03451388	
0.388	0.03405022	
0.39	0.03356487	
0.391	0.03410884	
0.393	0.03431902	
0.394	0.03386458	
0.396	0.03391486	
0.397	0.03331942	
0.399	0.03218418	
0.4	0.03158306	
0.402	0.03059797	
0.403	0.02989178	
0.405	0.02934219	
0.406	0.02859847	
0.408	0.02896676	
0.409	0.02848455	
0.411	0.02810346	
0.412	0.02783652	
0.414	0.02723881	
0.415	0.02693562	
0.417	0.02639027	
0.418	0.02529208	
0.42	0.02405935	
0.421	0.02413949	
0.423	0.02398149	
0.424	0.02314611	
0.426	0.02313949	
0.427	0.02313718	
0.429	0.02171866	
0.43	0.02032412	
0.432	0.01933782	
0.433	0.01816197	
0.435	0.01695987	
0.436	0.01677663	
0.438	0.01697325	
0.439	0.01646427	
0.441	0.0158979	
0.442	0.01566346	
0.444	0.0149892	
0.445	0.01394056	
0.447	0.01351329	
0.448	0.01366379	
0.45	0.01330764	
0.451	0.01326713	
0.453	0.01321436	
0.454	0.01401015	
0.456	0.01557357	
0.457	0.01634846	
0.459	0.01662229	
0.46	0.01705913	
0.462	0.01800867	
0.463	0.01847629	
0.465	0.01912848	
0.466	0.0182991	
0.468	0.01756327	
0.469	0.01734012	
0.471	0.0164018	
0.472	0.01545239	
