Chrom.1		
UV		
ml	mAU	
0.001	0.1121697	
0.002	0.1124503	
0.004	0.1101549	
0.005	0.1088215	
0.007	0.1079846	
0.008	0.1068317	
0.01	0.1064824	
0.011	0.1064365	
0.013	0.1068369	
0.014	0.108121	
0.016	0.1086101	
0.017	0.1092806	
0.019	0.1102285	
0.02	0.1105125	
0.022	0.1112069	
0.023	0.112659	
0.025	0.1127103	
0.026	0.1132612	
0.028	0.1140526	
0.029	0.115818	
0.031	0.1165548	
0.032	0.1169431	
0.034	0.1172595	
0.035	0.1170844	
0.037	0.1173002	
0.038	0.1172495	
0.04	0.1166482	
0.041	0.1160775	
0.043	0.1160519	
0.044	0.116417	
0.046	0.1163794	
0.047	0.1165448	
0.049	0.1172	
0.05	0.1178346	
0.052	0.1188009	
0.053	0.1193468	
0.055	0.1198085	
0.056	0.1211694	
0.058	0.1223716	
0.059	0.1225856	
0.061	0.1221316	
0.062	0.1223496	
0.064	0.1241988	
0.065	0.1256712	
0.067	0.1263566	
0.068	0.126461	
0.07	0.1272161	
0.071	0.1275232	
0.073	0.1283566	
0.074	0.1301438	
0.076	0.1314653	
0.077	0.1329282	
0.079	0.134392	
0.08	0.1354194	
0.082	0.1371369	
0.083	0.1385415	
0.085	0.1391304	
0.086	0.1390846	
0.088	0.1389255	
0.089	0.1386953	
0.091	0.1383884	
0.092	0.137687	
0.094	0.1369758	
0.095	0.1370631	
0.097	0.137109	
0.098	0.13654	
0.1	0.1365148	
0.101	0.1370722	
0.103	0.1367005	
0.104	0.1361705	
0.106	0.1359278	
0.107	0.1353901	
0.109	0.1352067	
0.11	0.1354974	
0.112	0.1350773	
0.113	0.134501	
0.115	0.1342514	
0.116	0.1343971	
0.118	0.134954	
0.119	0.1349267	
0.121	0.1345045	
0.122	0.1341597	
0.124	0.1337614	
0.125	0.1324878	
0.127	0.130375	
0.128	0.1283602	
0.13	0.1265368	
0.131	0.1248939	
0.133	0.1231745	
0.134	0.1219813	
0.136	0.1215884	
0.137	0.1206295	
0.139	0.1191034	
0.14	0.1172048	
0.142	0.114989	
0.143	0.1130282	
0.145	0.1116041	
0.146	0.1101294	
0.148	0.1084014	
0.149	0.1054377	
0.151	0.1026526	
0.152	0.1007412	
0.154	0.09906842	
0.155	0.09797281	
0.157	0.09569664	
0.158	0.0931539	
0.159	0.09227557	
0.161	0.09209548	
0.162	0.0917258	
0.164	0.09100027	
0.165	0.08991599	
0.167	0.08898731	
0.168	0.08780438	
0.17	0.0865067	
