Chrom.1		
UV		
ml	mAU	
0.001	0.05126325	
0.002	0.05271545	
0.004	0.05018517	
0.005	0.05025439	
0.007	0.05124442	
0.008	0.05064431	
0.01	0.05065269	
0.011	0.05093847	
0.013	0.05116786	
0.014	0.05082408	
0.016	0.05103337	
0.017	0.0507424	
0.019	0.05078504	
0.02	0.05131128	
0.022	0.05071233	
0.023	0.0499519	
0.025	0.05013224	
0.026	0.05024315	
0.028	0.04982414	
0.029	0.04977215	
0.031	0.04953694	
0.032	0.04931301	
0.034	0.04915014	
0.035	0.04950354	
0.037	0.04975323	
0.038	0.04927565	
0.04	0.04851887	
0.041	0.04875259	
0.043	0.04888596	
0.044	0.04909282	
0.046	0.0498783	
0.047	0.05046116	
0.049	0.05222327	
0.05	0.05351122	
0.052	0.05433393	
0.053	0.05600512	
0.055	0.05726134	
0.056	0.05815605	
0.058	0.05910803	
0.059	0.06027769	
0.061	0.06174532	
0.062	0.06324279	
0.064	0.06555681	
0.065	0.06660537	
0.067	0.06665685	
0.068	0.06691179	
0.07	0.06765343	
0.071	0.06873255	
0.073	0.06959094	
0.074	0.0704221	
0.076	0.07093992	
0.077	0.07157201	
0.079	0.0726878	
0.08	0.07433867	
0.082	0.07644085	
0.083	0.07810999	
0.085	0.07946336	
0.086	0.08130731	
0.088	0.0839535	
0.089	0.0861675	
0.091	0.08714801	
0.092	0.08832308	
0.093	0.08972606	
0.095	0.09101237	
0.096	0.09243401	
0.098	0.0939443	
0.099	0.09560335	
0.101	0.09765791	
0.102	0.09980144	
0.104	0.101688	
0.105	0.1033582	
0.107	0.1054545	
0.108	0.1082819	
0.11	0.1107896	
0.111	0.1123185	
0.113	0.1140726	
0.114	0.1160177	
0.116	0.117369	
0.117	0.1190426	
0.119	0.1204201	
0.12	0.1213803	
0.122	0.1223751	
0.123	0.1227251	
0.125	0.1228829	
0.126	0.1235701	
0.128	0.1244344	
0.129	0.1241396	
0.131	0.1230031	
0.132	0.1218045	
0.134	0.12056	
0.135	0.1189029	
0.137	0.1170588	
0.138	0.1150644	
0.14	0.1131217	
0.141	0.112051	
0.143	0.1109323	
0.144	0.109311	
0.146	0.1080109	
0.147	0.1076078	
0.149	0.1074182	
0.15	0.1070152	
0.152	0.1061073	
0.153	0.104363	
0.155	0.1022368	
0.156	0.09988986	
0.158	0.09803221	
0.159	0.09692475	
0.161	0.095185	
0.162	0.09227526	
0.164	0.08982567	
0.165	0.08931508	
0.167	0.08864121	
0.168	0.08708609	
0.17	0.08568478	
0.171	0.08485851	
0.173	0.08433915	
0.174	0.08347443	
0.176	0.08197402	
0.177	0.08009997	
0.179	0.0788143	
0.18	0.07733323	
0.182	0.07520473	
0.183	0.07291611	
0.185	0.07074583	
0.186	0.06880385	
0.188	0.0669567	
0.189	0.06522544	
0.191	0.06367669	
