Chrom.1		
UV		
ml	mAU	
0.001	0.07486462	
0.002	0.07529575	
0.004	0.07631768	
0.005	0.0768907	
0.007	0.0784016	
0.008	0.07909174	
0.01	0.07924096	
0.011	0.08104309	
0.013	0.08143423	
0.014	0.08228116	
0.016	0.08290369	
0.017	0.08312721	
0.019	0.08362957	
0.02	0.08449467	
0.022	0.08509377	
0.023	0.08593019	
0.025	0.08698723	
0.026	0.08756445	
0.028	0.08675222	
0.029	0.08504397	
0.031	0.08516496	
0.032	0.08537229	
0.034	0.08484891	
0.035	0.08391329	
0.037	0.08454408	
0.038	0.08503004	
0.04	0.08454087	
0.041	0.08508766	
0.043	0.084722	
0.044	0.08469305	
0.046	0.08570337	
0.047	0.0866165	
0.049	0.08848406	
0.05	0.08958934	
0.052	0.09066323	
0.053	0.09167376	
0.055	0.09248514	
0.056	0.09360572	
0.058	0.09511647	
0.059	0.09656946	
0.061	0.09868497	
0.062	0.1009258	
0.064	0.1033563	
0.065	0.105852	
0.067	0.1070804	
0.068	0.1074871	
0.07	0.1088753	
0.071	0.1105726	
0.073	0.1119597	
0.074	0.11272	
0.076	0.1141465	
0.077	0.115921	
0.079	0.1170824	
0.08	0.1175998	
0.082	0.1180799	
0.083	0.119086	
0.085	0.1192427	
0.086	0.1195841	
0.088	0.1202849	
0.089	0.1209236	
0.091	0.1217865	
0.092	0.1225517	
0.094	0.1229698	
0.095	0.1229683	
0.097	0.1232588	
0.098	0.1231884	
0.1	0.1228316	
0.101	0.1222981	
0.103	0.1229773	
0.104	0.1247144	
0.106	0.1249047	
0.107	0.1250055	
0.109	0.1254788	
0.11	0.1262389	
0.112	0.1267696	
0.113	0.1269522	
0.115	0.1273723	
0.116	0.1272176	
0.118	0.1278242	
0.119	0.1289547	
0.121	0.1291177	
0.122	0.1289714	
0.124	0.1283735	
0.125	0.1272505	
0.127	0.1262482	
0.128	0.1258705	
0.13	0.1259305	
0.131	0.1256262	
0.133	0.1242172	
0.134	0.1228885	
0.136	0.1214365	
0.137	0.1193298	
0.139	0.1170655	
0.14	0.1152623	
0.142	0.1144841	
0.143	0.1145126	
0.145	0.1140255	
0.146	0.1131764	
0.148	0.1128162	
0.149	0.1119737	
0.151	0.1102141	
0.152	0.1087688	
0.154	0.1078812	
0.155	0.1073868	
0.157	0.1066301	
0.158	0.1058675	
0.16	0.105278	
0.161	0.1045372	
0.163	0.1035451	
0.164	0.1031379	
0.166	0.1026357	
0.167	0.1022273	
0.168	0.1024048	
0.17	0.1022751	
0.171	0.1020471	
0.173	0.1021329	
0.174	0.1023417	
0.176	0.102122	
0.177	0.1017502	
0.179	0.1011517	
0.18	0.101094	
0.182	0.1012137	
0.183	0.1010681	
0.185	0.1009639	
0.186	0.1005641	
0.188	0.1000278	
0.189	0.1000775	
0.191	0.1005284	
0.192	0.100681	
0.194	0.1008598	
0.195	0.1014469	
0.197	0.1024066	
0.198	0.1041809	
0.2	0.1070623	
0.201	0.1105666	
0.203	0.1136847	
0.204	0.1165444	
0.206	0.120407	
0.207	0.1249108	
0.209	0.1292683	
0.21	0.1332132	
0.212	0.13699	
0.213	0.1406055	
0.215	0.1443359	
0.216	0.1488803	
0.218	0.1536141	
0.219	0.1586816	
0.221	0.1641794	
0.222	0.1689369	
0.224	0.1740808	
0.225	0.1797823	
0.227	0.1857813	
0.228	0.1917223	
0.23	0.1971324	
0.231	0.2029351	
0.233	0.2086787	
0.234	0.2142959	
0.236	0.21944	
0.237	0.2244763	
0.239	0.2296615	
0.24	0.234331	
0.242	0.2384705	
0.243	0.2419308	
0.245	0.2455686	
0.246	0.2494203	
0.248	0.2529657	
0.249	0.2565045	
0.251	0.260904	
0.252	0.2650595	
0.254	0.2687227	
0.255	0.2727517	
0.257	0.2764335	
0.258	0.2795181	
0.26	0.2822384	
0.261	0.2849524	
0.263	0.2872131	
0.264	0.289178	
0.266	0.2913168	
0.267	0.2932838	
0.269	0.2954768	
0.27	0.2970187	
0.272	0.2974855	
0.273	0.2975702	
0.275	0.2975948	
0.276	0.2974151	
0.278	0.2967159	
0.279	0.2956274	
0.281	0.2939598	
0.282	0.2918022	
0.284	0.2899096	
0.285	0.2876583	
0.287	0.285521	
0.288	0.2830804	
0.29	0.2806033	
0.291	0.2775928	
0.293	0.2738658	
0.294	0.269543	
0.296	0.2654541	
0.297	0.2622026	
0.299	0.2584717	
0.3	0.2546535	
0.302	0.2503967	
0.303	0.2465009	
0.305	0.2431926	
0.306	0.2389568	
0.308	0.2336603	
0.309	0.2284779	
0.311	0.2242405	
0.312	0.2191945	
0.314	0.2142226	
0.315	0.2101573	
0.317	0.2067835	
0.318	0.2039082	
0.32	0.2010817	
0.321	0.1986608	
0.323	0.1962412	
0.324	0.193344	
0.326	0.1904298	
0.327	0.1877195	
0.329	0.1842467	
0.33	0.1807112	
0.332	0.1779207	
0.333	0.1757898	
0.335	0.1734915	
0.336	0.170879	
0.338	0.1689331	
0.339	0.1681438	
0.341	0.1661067	
0.342	0.163871	
0.344	0.1606692	
0.345	0.1576573	
0.347	0.1559037	
0.348	0.1540496	
0.35	0.1513399	
0.351	0.148052	
0.353	0.1455262	
0.354	0.1444075	
0.356	0.1428479	
0.357	0.1404003	
0.359	0.138525	
0.36	0.1367878	
0.362	0.1351265	
0.363	0.1336492	
0.365	0.1327771	
0.366	0.1314046	
0.368	0.130066	
0.369	0.1288413	
0.371	0.1273154	
0.372	0.1258784	
0.374	0.1247093	
0.375	0.1232212	
0.377	0.1218431	
0.378	0.1203972	
0.38	0.1183553	
0.381	0.1162172	
0.383	0.1146651	
0.384	0.114208	
0.386	0.1129998	
0.387	0.1125982	
0.389	0.1124774	
0.39	0.1112784	
0.392	0.1099133	
0.393	0.1080144	
0.395	0.1060343	
0.396	0.1043036	
0.398	0.1028463	
0.399	0.1020202	
0.401	0.1016082	
0.402	0.1002698	
0.404	0.1000743	
0.405	0.09931749	
0.407	0.09798286	
0.408	0.09756572	
0.41	0.09743283	
0.411	0.09771405	
0.413	0.09693167	
0.414	0.09530934	
0.415	0.09409062	
0.417	0.09350536	
0.418	0.09313602	
0.42	0.0923078	
0.421	0.09102386	
0.423	0.08964862	
0.424	0.08939669	
0.426	0.09028625	
0.427	0.09005614	
0.429	0.08831745	
0.43	0.08748848	
0.432	0.08743884	
0.433	0.08697413	
0.435	0.08607045	
0.436	0.08541619	
0.438	0.08471105	
0.439	0.08328575	
0.441	0.08249275	
0.442	0.08186425	
0.444	0.08208833	
0.445	0.08174332	
0.447	0.08110008	
0.448	0.08011222	
0.45	0.07933582	
0.451	0.07867534	
0.453	0.07740234	
0.454	0.07728781	
0.456	0.07743178	
0.457	0.07720586	
0.459	0.07710426	
0.46	0.07692443	
0.462	0.07717789	
0.463	0.0769778	
0.465	0.07740968	
0.466	0.07720069	
0.468	0.0765333	
0.469	0.0765536	
0.471	0.07614738	
0.472	0.07573868	
0.474	0.07479475	
0.475	0.07420173	
0.477	0.07467226	
0.478	0.07451912	
0.48	0.07386108	
0.481	0.07326297	
0.483	0.07235295	
0.484	0.07157163	
0.486	0.071082	
0.487	0.07134406	
0.489	0.07078946	
0.49	0.07147307	
0.492	0.07221108	
0.493	0.07321278	
0.495	0.07447392	
0.496	0.07454688	
0.498	0.07535905	
0.499	0.07618807	
0.501	0.07496484	
0.502	0.07471657	
0.504	0.07577247	
0.505	0.07565634	
0.507	0.07638863	
0.508	0.07716683	
0.51	0.07739094	
0.511	0.077581	
0.513	0.07840847	
0.514	0.07850177	
0.516	0.07800872	
0.517	0.07833893	
0.519	0.07717804	
0.52	0.07647704	
0.522	0.07675861	
0.523	0.07639795	
0.525	0.07703386	
0.526	0.07730821	
0.528	0.07782674	
0.529	0.07835624	
0.531	0.07847527	
0.532	0.0788643	
0.534	0.0790377	
0.535	0.07938203	
0.537	0.07875923	
0.538	0.07842074	
0.54	0.07764544	
0.541	0.07754523	
0.543	0.07828972	
0.544	0.07881147	
0.546	0.07878348	
0.547	0.0788286	
0.549	0.07978396	
0.55	0.08030634	
0.552	0.07975576	
0.553	0.07971805	
0.555	0.0794878	
0.556	0.08013767	
0.558	0.08050292	
0.559	0.07979597	
0.561	0.07866892	
0.562	0.07721013	
0.564	0.07649109	
0.565	0.07544071	
0.567	0.07360134	
0.568	0.07364019	
0.57	0.07219625	
0.571	0.07298817	
0.573	0.07284959	
0.574	0.07277311	
0.576	0.07303478	
0.577	0.07194433	
0.579	0.07091818	
0.58	0.0707317	
0.582	0.0701789	
0.583	0.06844379	
0.585	0.06812964	
0.586	0.06751886	
0.588	0.06642393	
0.589	0.06659142	
0.591	0.06663699	
0.592	0.06555084	
0.594	0.06546349	
0.595	0.06583425	
0.597	0.06467926	
0.598	0.06507252	
0.6	0.0642835	
0.601	0.06361046	
0.603	0.06280954	
0.604	0.0627064	
0.606	0.06214671	
0.607	0.06166429	
0.609	0.06192829	
0.61	0.06040769	
0.612	0.06108395	
0.613	0.0614032	
0.615	0.06037784	
0.616	0.06037889	
0.618	0.05948933	
0.619	0.05941192	
0.621	0.05903329	
0.622	0.05869857	
0.624	0.05688667	
0.625	0.05647479	
0.627	0.05640243	
0.628	0.05605432	
0.63	0.05707698	
0.631	0.05663219	
0.633	0.05602545	
0.634	0.05770208	
0.636	0.05712328	
0.637	0.05750097	
0.639	0.05793186	
0.64	0.05859416	
0.642	0.05892527	
0.643	0.05762162	
0.645	0.05786039	
0.646	0.05685296	
0.648	0.05648292	
0.649	0.05597422	
0.651	0.05576218	
0.652	0.05588578	
0.654	0.05642206	
0.655	0.05658948	
0.657	0.05613568	
0.658	0.05641529	
0.66	0.05663146	
0.661	0.05688658	
0.662	0.05854501	
0.664	0.05849199	
0.665	0.05924066	
0.667	0.06050844	
0.668	0.06126685	
0.67	0.06138431	
0.671	0.06181066	
0.673	0.06223921	
0.674	0.06240252	
0.676	0.06214205	
0.677	0.06327926	
0.679	0.0628956	
0.68	0.0623427	
0.682	0.06254956	
0.683	0.06196572	
0.685	0.06241794	
0.686	0.06148458	
0.688	0.06159217	
0.689	0.06281696	
0.691	0.06270153	
0.692	0.06189314	
0.694	0.06253955	
0.695	0.06216137	
0.697	0.06170639	
0.698	0.06236167	
0.7	0.06285372	
0.701	0.06278118	
0.703	0.06267296	
0.704	0.06166105	
0.706	0.06100291	
0.707	0.06048993	
0.709	0.05856362	
0.71	0.05819834	
0.712	0.05875973	
0.713	0.05959556	
0.715	0.05931067	
0.716	0.05905489	
0.718	0.05880494	
0.719	0.05947043	
0.721	0.06033693	
0.722	0.06097317	
0.724	0.06074023	
