Chrom.1		
UV		
ml	mAU	
0.001	0.1355467	
0.002	0.1349777	
0.004	0.1340144	
0.005	0.1313873	
0.007	0.1307975	
0.008	0.130568	
0.01	0.1311215	
0.011	0.1311253	
0.013	0.1319719	
0.014	0.1314055	
0.016	0.131219	
0.017	0.1303558	
0.019	0.1302014	
0.02	0.1298817	
0.022	0.1298962	
0.023	0.1286958	
0.025	0.1280686	
0.026	0.1287197	
0.028	0.1289084	
0.029	0.1288184	
0.031	0.129569	
0.032	0.1293031	
0.034	0.1291849	
0.035	0.1292691	
0.037	0.129368	
0.038	0.1301476	
0.04	0.1306808	
0.041	0.1310047	
0.043	0.1321235	
0.044	0.133091	
0.046	0.1334575	
0.047	0.1349096	
0.049	0.1360288	
0.05	0.1368582	
0.052	0.1369528	
0.053	0.1376065	
0.055	0.1377405	
0.056	0.1390739	
0.058	0.1403365	
0.059	0.1416227	
0.061	0.1435696	
0.062	0.1448547	
0.064	0.1462324	
0.065	0.1478598	
0.067	0.1496803	
0.068	0.1523145	
0.07	0.1537613	
0.071	0.1552381	
0.073	0.1571486	
0.074	0.1589848	
0.076	0.1613056	
0.077	0.1624365	
0.079	0.1632709	
0.08	0.1638456	
0.082	0.1647922	
0.083	0.1659995	
0.085	0.1669187	
0.086	0.1681643	
0.088	0.1687149	
0.089	0.1700069	
0.091	0.1720538	
0.092	0.1740635	
0.094	0.1755311	
0.095	0.176961	
0.097	0.1781788	
0.098	0.179456	
0.1	0.18074	
0.101	0.1819556	
0.103	0.1820634	
0.104	0.1826458	
0.106	0.1839897	
0.107	0.1862065	
0.109	0.1863919	
0.11	0.1857462	
0.112	0.1862341	
0.113	0.1866446	
0.115	0.1877567	
0.116	0.1887406	
0.118	0.1894708	
0.119	0.1905159	
0.121	0.1914648	
0.122	0.191428	
0.124	0.190881	
0.125	0.1898739	
0.126	0.1903212	
0.128	0.1911317	
0.129	0.1915253	
0.131	0.1911007	
0.132	0.191438	
0.134	0.1915582	
0.135	0.1914988	
0.137	0.192351	
0.138	0.1930834	
0.14	0.1933889	
0.141	0.1933848	
0.143	0.1929897	
0.144	0.1921836	
0.146	0.1915706	
0.147	0.1914779	
0.149	0.1911681	
0.15	0.1903505	
0.152	0.1899752	
0.153	0.1903442	
0.155	0.1904736	
0.156	0.1905161	
0.158	0.1902447	
0.159	0.1894911	
0.161	0.1884293	
0.162	0.1879985	
0.164	0.1880581	
0.165	0.1883023	
0.167	0.1896066	
0.168	0.190047	
0.17	0.189635	
0.171	0.1891146	
0.173	0.1886062	
0.174	0.1890346	
0.176	0.1894892	
0.177	0.1896371	
0.179	0.1898934	
0.18	0.1898138	
0.182	0.1893487	
0.183	0.1911689	
0.185	0.1935198	
0.186	0.1941314	
0.188	0.1945884	
0.189	0.1947761	
0.191	0.1951891	
0.192	0.1956097	
0.194	0.1962189	
0.195	0.1968389	
0.197	0.19825	
0.198	0.201144	
0.2	0.2043553	
0.201	0.206689	
0.203	0.2088459	
0.204	0.2113486	
0.206	0.2138746	
0.207	0.2164304	
0.209	0.2195202	
0.21	0.2231427	
0.212	0.2266645	
0.213	0.2293953	
0.215	0.2323934	
0.216	0.2361571	
0.218	0.2399129	
0.219	0.2446044	
0.221	0.2491549	
0.222	0.2530861	
0.224	0.2576756	
0.225	0.2627259	
0.227	0.2678529	
0.228	0.2727699	
0.23	0.2780216	
0.231	0.2825589	
0.233	0.2862032	
0.234	0.2901644	
0.236	0.2947293	
0.237	0.2994342	
0.239	0.3029927	
0.24	0.3059318	
0.242	0.30845	
0.243	0.3109154	
0.245	0.3134173	
0.246	0.3166054	
0.248	0.3203605	
0.249	0.3231843	
0.251	0.3255143	
0.252	0.3282878	
0.254	0.3303518	
0.255	0.3316922	
0.257	0.3331015	
0.258	0.3338066	
0.26	0.3344009	
0.261	0.3354002	
0.263	0.3366924	
0.264	0.3381088	
0.266	0.339076	
0.267	0.3403988	
0.269	0.34231	
0.27	0.3432275	
0.272	0.3430213	
0.273	0.3421578	
0.275	0.3413527	
0.276	0.340635	
0.278	0.3398596	
0.279	0.3383167	
0.281	0.3367083	
0.282	0.3347032	
0.284	0.3326551	
0.285	0.3301844	
0.287	0.3269335	
0.288	0.3239186	
0.29	0.3211518	
0.291	0.3181628	
