Chrom.1		
UV		
ml	mAU	
0.001	-6.919888	
0.002	-6.918273	
0.004	-6.917649	
0.005	-6.917442	
0.007	-6.91675	
0.008	-6.915703	
0.01	-6.915577	
0.011	-6.916591	
0.013	-6.916275	
0.014	-6.915796	
0.016	-6.915594	
0.017	-6.916101	
0.019	-6.916099	
0.02	-6.915192	
0.022	-6.915898	
0.023	-6.916186	
0.025	-6.91694	
0.026	-6.917475	
0.028	-6.917782	
0.029	-6.917205	
0.031	-6.91698	
0.032	-6.917004	
0.034	-6.916848	
0.035	-6.916538	
0.037	-6.916014	
0.038	-6.914552	
0.04	-6.912394	
0.041	-6.910581	
0.043	-6.907936	
0.044	-6.903595	
0.046	-6.89889	
0.047	-6.894484	
0.049	-6.890475	
0.05	-6.886532	
0.052	-6.883492	
0.053	-6.88096	
0.055	-6.87918	
0.056	-6.877314	
0.058	-6.876264	
0.059	-6.875161	
0.061	-6.873691	
0.062	-6.871144	
0.064	-6.867421	
0.065	-6.864561	
0.067	-6.863223	
0.068	-6.860908	
0.07	-6.857795	
0.071	-6.855705	
0.073	-6.853987	
0.074	-6.852822	
0.076	-6.851341	
0.077	-6.850255	
0.079	-6.849678	
0.08	-6.849349	
0.082	-6.849405	
0.083	-6.849703	
0.085	-6.848413	
0.086	-6.84656	
0.088	-6.846749	
0.089	-6.846729	
0.091	-6.845944	
0.092	-6.84428	
0.094	-6.842464	
0.095	-6.841807	
0.097	-6.841009	
0.098	-6.839852	
0.1	-6.839196	
0.101	-6.839717	
0.103	-6.840086	
0.104	-6.840188	
0.106	-6.841326	
0.107	-6.842615	
0.109	-6.843437	
0.11	-6.84457	
0.112	-6.847	
0.113	-6.849655	
0.115	-6.852693	
0.116	-6.856579	
0.118	-6.86095	
0.119	-6.866347	
0.121	-6.872287	
0.122	-6.877602	
0.124	-6.882689	
0.125	-6.887727	
0.127	-6.892332	
0.128	-6.89701	
0.129	-6.901242	
0.131	-6.904954	
0.132	-6.908181	
0.134	-6.91243	
0.135	-6.916538	
0.137	-6.921212	
0.138	-6.9269	
0.14	-6.932001	
0.141	-6.935647	
0.143	-6.940568	
0.144	-6.945329	
0.146	-6.948454	
0.147	-6.951591	
0.149	-6.955131	
0.15	-6.958449	
0.152	-6.960768	
0.153	-6.963249	
0.155	-6.965635	
0.156	-6.967369	
0.158	-6.96927	
0.159	-6.971104	
0.161	-6.974153	
0.162	-6.976082	
0.164	-6.977886	
0.165	-6.980484	
0.167	-6.983381	
0.168	-6.986519	
0.17	-6.988485	
0.171	-6.990227	
0.173	-6.992663	
0.174	-6.994598	
0.176	-6.995516	
0.177	-6.996729	
0.179	-6.9981	
0.18	-6.998888	
0.182	-6.999704	
0.183	-7.000943	
0.185	-7.002203	
0.186	-7.002317	
0.188	-7.002127	
0.189	-7.001678	
0.191	-7.001045	
0.192	-7.000401	
0.194	-6.999648	
0.195	-6.999394	
0.197	-6.999874	
0.198	-7.000039	
0.2	-6.999562	
0.201	-6.998788	
0.203	-6.998008	
0.204	-6.997231	
0.206	-6.996721	
0.207	-6.996387	
0.209	-6.995457	
0.21	-6.994194	
0.212	-6.993173	
0.213	-6.992042	
0.215	-6.990405	
0.216	-6.98881	
0.218	-6.986899	
0.219	-6.985106	
0.221	-6.984258	
0.222	-6.983562	
0.224	-6.98219	
0.225	-6.979992	
0.227	-6.978764	
0.228	-6.978002	
0.23	-6.976687	
0.231	-6.97525	
0.233	-6.973413	
0.234	-6.972421	
0.236	-6.970955	
0.237	-6.969485	
0.239	-6.968224	
0.24	-6.966215	
0.242	-6.964149	
0.243	-6.96216	
0.245	-6.960343	
0.246	-6.958535	
0.248	-6.956112	
0.249	-6.953247	
0.251	-6.950086	
0.252	-6.946738	
0.254	-6.94379	
0.255	-6.94048	
0.257	-6.935654	
0.258	-6.930065	
0.26	-6.924305	
0.261	-6.919123	
0.263	-6.913537	
0.264	-6.906758	
0.266	-6.900557	
0.267	-6.894209	
0.269	-6.887559	
0.27	-6.879426	
0.272	-6.871037	
0.273	-6.863349	
0.275	-6.855433	
0.276	-6.846947	
0.278	-6.83818	
0.279	-6.8293	
0.281	-6.820406	
0.282	-6.811286	
0.284	-6.802916	
0.285	-6.794724	
0.287	-6.785996	
0.288	-6.776896	
0.29	-6.768576	
0.291	-6.760451	
0.293	-6.752507	
0.294	-6.744408	
0.296	-6.736634	
0.297	-6.728428	
0.299	-6.719746	
0.3	-6.712117	
0.302	-6.704411	
0.303	-6.695783	
0.305	-6.687457	
0.306	-6.67991	
0.308	-6.671958	
0.309	-6.663552	
0.311	-6.655194	
0.312	-6.647424	
0.314	-6.63972	
0.315	-6.632388	
0.317	-6.625622	
0.318	-6.618659	
0.32	-6.611708	
0.321	-6.604215	
0.323	-6.59677	
0.324	-6.590182	
0.326	-6.584166	
0.327	-6.578074	
0.329	-6.571381	
0.33	-6.565286	
0.332	-6.560335	
0.333	-6.555687	
0.335	-6.551701	
0.336	-6.547709	
0.338	-6.543404	
0.339	-6.540527	
0.341	-6.538063	
0.342	-6.535458	
0.344	-6.53388	
0.345	-6.53282	
0.347	-6.532093	
0.348	-6.530721	
0.35	-6.530028	
0.351	-6.530602	
0.353	-6.53162	
0.354	-6.531847	
0.356	-6.531732	
0.357	-6.532741	
0.359	-6.533712	
0.36	-6.534857	
0.362	-6.536396	
0.363	-6.537591	
0.365	-6.538786	
0.366	-6.541058	
0.368	-6.542285	
0.369	-6.543324	
0.371	-6.545	
0.372	-6.546407	
0.374	-6.548077	
0.375	-6.549737	
0.376	-6.550882	
0.378	-6.552886	
0.379	-6.554189	
0.381	-6.555896	
0.382	-6.558599	
0.384	-6.561415	
0.385	-6.563853	
0.387	-6.566153	
0.388	-6.567641	
0.39	-6.569638	
0.391	-6.571906	
0.393	-6.574036	
0.394	-6.576113	
0.396	-6.578109	
0.397	-6.58062	
0.399	-6.582996	
0.4	-6.584761	
0.402	-6.586453	
0.403	-6.588765	
0.405	-6.590484	
0.406	-6.592186	
0.408	-6.594012	
0.409	-6.596012	
0.411	-6.598239	
0.412	-6.600643	
0.414	-6.603193	
0.415	-6.605598	
0.417	-6.608209	
0.418	-6.608697	
0.42	-6.611292	
0.421	-6.61398	
0.423	-6.616255	
0.424	-6.61892	
0.426	-6.620608	
0.427	-6.621806	
0.429	-6.623199	
0.43	-6.62547	
0.432	-6.627252	
0.433	-6.628654	
0.435	-6.629667	
0.436	-6.630467	
0.438	-6.632675	
0.439	-6.633955	
0.441	-6.634635	
0.442	-6.636553	
