Chrom.1		
UV		
ml	mAU	
0.001	0.08905895	
0.002	0.09034137	
0.004	0.09180138	
0.005	0.09100578	
0.007	0.09193054	
0.008	0.09223945	
0.01	0.09140093	
0.011	0.09003772	
0.013	0.08889888	
0.014	0.08699957	
0.016	0.08631251	
0.017	0.085104	
0.019	0.08464231	
0.02	0.08401984	
0.022	0.0837142	
0.023	0.08339216	
0.025	0.08266319	
0.026	0.08211134	
0.028	0.08098409	
0.029	0.07936981	
0.031	0.07812652	
0.032	0.07778054	
0.034	0.07608891	
0.035	0.07557585	
0.037	0.07626687	
0.038	0.07656844	
0.04	0.07666427	
0.041	0.07564281	
0.043	0.07539388	
0.044	0.0758938	
0.046	0.07628404	
0.047	0.07561206	
0.049	0.07405295	
0.05	0.07329183	
0.052	0.07228228	
0.053	0.07167307	
0.055	0.0710815	
0.056	0.07080876	
0.058	0.07029254	
0.059	0.07103347	
0.061	0.07128716	
0.062	0.07072882	
0.064	0.0705719	
0.065	0.0702647	
0.067	0.07022595	
0.068	0.06986113	
0.07	0.06886915	
0.071	0.06911352	
0.073	0.06805128	
0.074	0.06719158	
0.076	0.06714478	
0.077	0.06740525	
0.079	0.06687818	
0.08	0.06733929	
0.082	0.06758275	
0.083	0.06773037	
0.085	0.06854459	
0.086	0.06933858	
0.088	0.07053352	
0.089	0.07190973	
0.091	0.07253974	
0.092	0.07387483	
0.094	0.07440769	
0.095	0.0750299	
0.097	0.07530674	
0.098	0.07540838	
0.1	0.07627184	
0.101	0.07759197	
0.103	0.07817744	
0.104	0.07889844	
0.106	0.07970081	
0.107	0.07965598	
0.109	0.08107691	
0.11	0.08155924	
0.112	0.08135498	
0.113	0.08184251	
0.114	0.08234219	
0.116	0.08270531	
0.117	0.08283461	
0.119	0.08206588	
0.12	0.08203612	
0.122	0.08251922	
0.123	0.08313732	
0.125	0.08280639	
0.126	0.08253806	
0.128	0.08209605	
0.129	0.08224675	
0.131	0.0826112	
0.132	0.08316528	
0.134	0.08288884	
0.135	0.08249773	
0.137	0.08286329	
0.138	0.08352908	
0.14	0.08382551	
0.141	0.08428802	
0.143	0.08462976	
0.144	0.08493455	
0.146	0.09003044	
0.147	0.1171243	
0.149	0.1594637	
0.15	0.1931276	
0.152	0.2061459	
0.153	0.2080813	
0.155	0.2077176	
0.156	0.2072064	
0.158	0.2080295	
0.159	0.2083089	
0.161	0.2085195	
0.162	0.2082379	
0.164	0.2084963	
0.165	0.2092465	
0.167	0.2088877	
0.168	0.2089428	
0.17	0.2086979	
0.171	0.2081417	
0.173	0.2090252	
0.174	0.209128	
0.176	0.2080712	
0.177	0.2084381	
0.179	0.2095527	
0.18	0.2103303	
0.182	0.2107269	
0.183	0.2108193	
0.185	0.2116669	
0.186	0.2120556	
0.188	0.2114154	
0.189	0.2110308	
0.191	0.2111528	
0.192	0.2113267	
0.194	0.2120166	
0.195	0.2113995	
0.197	0.2109617	
0.198	0.2108607	
0.2	0.2113481	
0.201	0.2122566	
0.203	0.2134299	
0.204	0.2145587	
0.206	0.2153033	
0.207	0.2158109	
0.209	0.2163675	
0.21	0.2174697	
0.212	0.218457	
0.213	0.2185298	
0.215	0.2183926	
0.216	0.2191022	
0.218	0.2194943	
0.219	0.2199214	
0.221	0.2167146	
0.222	0.1949059	
0.224	0.1518272	
0.225	0.115645	
0.227	0.1018012	
0.228	0.09952775	
0.23	0.09966075	
0.231	0.1001948	
0.233	0.0998331	
0.234	0.09933399	
0.236	0.09903862	
0.237	0.09910541	
0.239	0.09896668	
0.24	0.09868827	
0.242	0.09926395	
0.243	0.1002088	
0.245	0.1006773	
0.246	0.1007847	
0.248	0.1006575	
0.249	0.1009109	
0.251	0.101611	
0.252	0.1018149	
0.254	0.1013464	
0.255	0.1014111	
0.257	0.1022193	
0.258	0.102409	
0.26	0.1027205	
0.261	0.1041314	
0.263	0.1054413	
0.264	0.1070979	
0.266	0.1090921	
0.267	0.1109363	
0.269	0.1124035	
0.27	0.114002	
0.272	0.1151329	
0.273	0.1157273	
0.275	0.1163706	
0.276	0.1172537	
0.278	0.1183316	
0.279	0.1186492	
0.281	0.1184477	
0.282	0.1192265	
0.284	0.12048	
0.285	0.1210086	
0.287	0.1213748	
0.288	0.1216752	
0.29	0.1222248	
0.291	0.1230924	
0.293	0.1239162	
0.294	0.1246931	
0.296	0.1256462	
0.297	0.1265717	
0.299	0.12682	
0.3	0.1267221	
0.302	0.127402	
