Chrom.1		
UV		
ml	mAU	
0.001	0.2790709	
0.002	0.2756247	
0.004	0.2741566	
0.005	0.2729456	
0.007	0.2721266	
0.008	0.2715546	
0.01	0.2723468	
0.011	0.2729238	
0.013	0.273896	
0.014	0.2747192	
0.016	0.2754898	
0.017	0.2758464	
0.019	0.2754861	
0.02	0.2753855	
0.022	0.2766474	
0.023	0.2776179	
0.025	0.2776127	
0.026	0.2779838	
0.028	0.2789474	
0.029	0.2798592	
0.031	0.2814428	
0.032	0.2825066	
0.034	0.2839767	
0.035	0.2862853	
0.037	0.2890384	
0.038	0.2911607	
0.04	0.2928763	
0.041	0.2948039	
0.043	0.2971981	
0.044	0.3007519	
0.046	0.3053577	
0.047	0.3091747	
0.049	0.3132387	
0.05	0.3171654	
0.052	0.3203312	
0.053	0.3227881	
0.055	0.3250829	
0.056	0.3277618	
0.058	0.3307059	
0.059	0.334451	
0.061	0.3389928	
0.062	0.3432853	
0.064	0.3470926	
0.065	0.352073	
0.067	0.3575347	
0.068	0.3635713	
0.07	0.370389	
0.071	0.3770645	
0.073	0.3843352	
0.074	0.3925218	
0.076	0.400709	
0.077	0.4091309	
0.079	0.4174358	
0.08	0.4259345	
0.082	0.4346396	
0.083	0.4425086	
0.085	0.4505431	
0.086	0.4589082	
0.088	0.4673157	
0.089	0.4761545	
0.091	0.4846034	
0.092	0.4929101	
0.094	0.5011575	
0.095	0.509363	
0.097	0.5181105	
0.098	0.5260064	
0.1	0.5340011	
0.101	0.5423076	
0.103	0.5497907	
0.104	0.5572886	
0.106	0.5646197	
0.107	0.5715716	
0.109	0.5775694	
0.11	0.5825992	
0.112	0.5875996	
0.113	0.5928305	
0.115	0.598358	
0.116	0.6041819	
0.118	0.6092218	
0.119	0.6132329	
0.121	0.6164811	
0.122	0.6202738	
0.124	0.6240647	
0.125	0.6277308	
0.127	0.6315712	
0.128	0.635964	
0.13	0.6400931	
0.131	0.6436701	
0.133	0.6471445	
0.134	0.6495459	
0.136	0.6515163	
0.137	0.6537915	
0.139	0.6561845	
0.14	0.658237	
0.142	0.6600627	
0.143	0.6614719	
0.145	0.6622319	
0.146	0.6631082	
0.148	0.6629111	
0.149	0.6623456	
0.151	0.6615881	
0.152	0.6599198	
0.154	0.6579192	
0.155	0.655843	
0.157	0.654097	
0.158	0.6518534	
0.16	0.6487893	
0.161	0.6459675	
0.162	0.6434934	
0.164	0.6407396	
0.165	0.6385065	
0.167	0.6364579	
0.168	0.6337999	
0.17	0.6313676	
0.171	0.6287869	
0.173	0.6263754	
0.174	0.6241447	
0.176	0.6219858	
0.177	0.6204329	
0.179	0.6186147	
0.18	0.6162646	
0.182	0.6145936	
0.183	0.6135748	
0.185	0.6127251	
0.186	0.6111997	
0.188	0.6091066	
0.189	0.6076817	
0.191	0.6064216	
0.192	0.606021	
0.194	0.6064456	
0.195	0.6062851	
0.197	0.6069192	
0.198	0.6086701	
0.2	0.6108813	
0.201	0.6133575	
0.203	0.6161917	
0.204	0.6191944	
0.206	0.6231893	
0.207	0.6274554	
0.209	0.6329383	
0.21	0.6390631	
0.212	0.6452109	
0.213	0.6523954	
0.215	0.6599537	
0.216	0.6669976	
0.218	0.6744422	
0.219	0.6828532	
0.221	0.691578	
0.222	0.6999272	
0.224	0.7082379	
0.225	0.7172017	
0.227	0.7251253	
0.228	0.7334359	
0.23	0.7423153	
0.231	0.7497581	
0.233	0.7573001	
0.234	0.7657795	
0.236	0.7742569	
0.237	0.7820991	
0.239	0.7897344	
0.24	0.797775	
0.242	0.8050649	
0.243	0.8111897	
0.245	0.8170711	
0.246	0.8230659	
0.248	0.8285458	
0.249	0.8343593	
0.251	0.8401881	
0.252	0.8454853	
0.254	0.8505927	
0.255	0.8562842	
0.257	0.8611475	
0.258	0.8648639	
0.26	0.8688385	
0.261	0.8722999	
0.263	0.876749	
0.264	0.8800091	
0.266	0.8829375	
0.267	0.8842908	
0.269	0.8855693	
0.27	0.8871394	
0.272	0.887502	
0.273	0.8872951	
0.275	0.8866555	
0.276	0.8855336	
0.278	0.8840979	
0.279	0.8825107	
0.281	0.8802295	
0.282	0.8767387	
0.284	0.8723254	
0.285	0.8673189	
0.287	0.8615297	
0.288	0.8546039	
0.29	0.8474205	
0.291	0.8402705	
0.293	0.8324472	
0.294	0.8234583	
0.296	0.8143942	
0.297	0.8064322	
0.299	0.79912	
0.3	0.7902878	
0.302	0.7813351	
0.303	0.7732416	
0.305	0.7635695	
0.306	0.7548787	
0.308	0.7469336	
0.309	0.7391506	
0.311	0.7303297	
0.312	0.721903	
0.314	0.7137732	
0.315	0.705212	
0.317	0.6968629	
0.318	0.689739	
0.32	0.6835095	
0.321	0.676649	
0.323	0.6699852	
0.324	0.6629071	
0.326	0.6562828	
0.327	0.6497049	
0.329	0.6428609	
0.33	0.6360785	
0.332	0.6300474	
0.333	0.6238801	
0.335	0.617636	
0.336	0.6116881	
0.338	0.6059168	
0.339	0.6009207	
0.341	0.5955255	
0.342	0.5911964	
0.344	0.5863382	
0.345	0.5808278	
0.347	0.5755529	
0.348	0.5701365	
0.35	0.5650039	
0.351	0.5610055	
0.353	0.5572116	
0.354	0.5530711	
0.356	0.5493503	
0.357	0.5456216	
0.359	0.5424703	
0.36	0.5390298	
0.362	0.5349399	
0.363	0.5312151	
0.365	0.5272146	
0.366	0.5237224	
0.368	0.5202532	
0.369	0.5176818	
0.371	0.5146612	
0.372	0.5115972	
0.374	0.5080912	
0.375	0.5040032	
0.377	0.5010179	
0.378	0.4983383	
0.38	0.4953485	
0.381	0.4927888	
0.383	0.4903557	
0.384	0.4867372	
0.386	0.4842404	
0.387	0.4809549	
0.389	0.4779746	
0.39	0.4749852	
0.392	0.4723973	
0.393	0.4698752	
0.395	0.4661404	
0.396	0.4631566	
0.398	0.4608492	
0.399	0.4584311	
0.401	0.4558181	
0.402	0.4535695	
0.404	0.4519767	
0.405	0.4496027	
0.407	0.4477598	
0.408	0.4459695	
0.409	0.4446949	
0.411	0.4435803	
0.412	0.4419737	
0.414	0.4398216	
0.415	0.4382926	
0.417	0.4355142	
0.418	0.4329507	
0.42	0.4310319	
0.421	0.4306264	
0.423	0.4284416	
0.424	0.4269456	
0.426	0.4244127	
0.427	0.4226643	
0.429	0.4210188	
0.43	0.4188527	
0.432	0.416531	
0.433	0.4138872	
0.435	0.4120522	
0.436	0.4105816	
0.438	0.4101252	
0.439	0.4088869	
0.441	0.4075278	
0.442	0.4058188	
0.444	0.4042565	
0.445	0.4027066	
0.447	0.4017704	
0.448	0.4005513	
0.45	0.3997111	
0.451	0.3985008	
0.453	0.3966789	
0.454	0.3961037	
0.456	0.3949582	
0.457	0.3926398	
0.459	0.3917089	
0.46	0.3898346	
0.462	0.3885765	
0.463	0.3867671	
0.465	0.3858586	
0.466	0.3841856	
0.468	0.3828724	
0.469	0.3827123	
0.471	0.3831401	
0.472	0.3826256	
0.474	0.3817501	
0.475	0.3808388	
0.477	0.3804973	
0.478	0.3793953	
0.48	0.3793468	
0.481	0.3792019	
0.483	0.3782103	
0.484	0.3770277	
0.486	0.3764643	
0.487	0.3754368	
0.489	0.3745402	
0.49	0.3728931	
0.492	0.3725526	
0.493	0.3712502	
0.495	0.370786	
0.496	0.3695792	
0.498	0.3692118	
0.499	0.3682838	
0.501	0.367943	
0.502	0.3674875	
0.504	0.3667834	
0.505	0.3653497	
0.507	0.3654556	
0.508	0.3645549	
0.51	0.364116	
0.511	0.3640839	
0.513	0.3616512	
0.514	0.3605733	
0.516	0.3604172	
0.517	0.3600896	
0.519	0.3596897	
0.52	0.3595473	
