Chrom.1		
UV		
ml	mAU	
0.001	0.08727601	
0.002	0.08934665	
0.004	0.08954926	
0.005	0.09040412	
0.007	0.09121004	
0.008	0.0935398	
0.01	0.09401724	
0.011	0.09497419	
0.013	0.09508564	
0.014	0.09524562	
0.016	0.09623685	
0.017	0.09703401	
0.019	0.09609516	
0.02	0.09561206	
0.022	0.09434323	
0.023	0.09458412	
0.025	0.09420996	
0.026	0.09371541	
0.028	0.0935737	
0.029	0.09345573	
0.031	0.09265059	
0.032	0.09233386	
0.034	0.09194629	
0.035	0.09221512	
0.037	0.09191594	
0.038	0.09233364	
0.04	0.09288409	
0.041	0.09414112	
0.043	0.09459984	
0.044	0.09451226	
0.046	0.09475137	
0.047	0.09624869	
0.049	0.09702224	
0.05	0.09750833	
0.052	0.0982444	
0.053	0.09836999	
0.055	0.09840783	
0.056	0.0978304	
0.058	0.09951495	
0.059	0.1008253	
0.061	0.1017195	
0.062	0.1027367	
0.064	0.1040343	
0.065	0.1058926	
0.067	0.1070636	
0.068	0.1074171	
0.07	0.1074597	
0.071	0.1077984	
0.073	0.1090363	
0.074	0.1098215	
0.076	0.110346	
0.077	0.1107688	
0.079	0.1117707	
0.08	0.1122629	
0.082	0.111335	
0.083	0.1105442	
0.085	0.1114319	
0.086	0.1118602	
0.088	0.1121892	
0.089	0.1130709	
0.091	0.1133553	
0.092	0.1135417	
0.094	0.1139346	
0.095	0.1146247	
0.097	0.1159098	
0.098	0.1161042	
0.1	0.1162322	
0.101	0.1165147	
0.103	0.11663	
0.104	0.11674	
0.106	0.116794	
0.107	0.117216	
0.109	0.1178842	
0.11	0.1176795	
0.112	0.1168583	
0.113	0.1163087	
0.115	0.1154878	
0.116	0.1151873	
0.118	0.1159089	
0.119	0.1163736	
0.121	0.1163318	
0.122	0.1156266	
0.124	0.1151515	
0.125	0.1137683	
0.126	0.1123505	
0.128	0.1123992	
0.129	0.1125436	
0.131	0.1134883	
0.132	0.1141146	
0.134	0.1144026	
0.135	0.1145424	
0.137	0.1136312	
0.138	0.1124195	
0.14	0.1110298	
0.141	0.1097874	
0.143	0.1095179	
0.144	0.1091653	
0.146	0.1085389	
0.147	0.1071283	
0.149	0.1056718	
0.15	0.1043145	
0.152	0.1027239	
0.153	0.1015391	
0.155	0.1010745	
0.156	0.1009611	
0.158	0.1007103	
0.159	0.09963888	
0.161	0.09890793	
0.162	0.09882261	
0.164	0.09782325	
0.165	0.09710874	
0.167	0.09691879	
0.168	0.09666257	
0.17	0.09586561	
0.171	0.09413382	
0.173	0.09359148	
0.174	0.09438106	
0.176	0.09591006	
0.177	0.0971384	
0.179	0.09823865	
0.18	0.09977587	
0.182	0.1016769	
0.183	0.104683	
0.185	0.1092831	
0.186	0.1154097	
0.188	0.1226702	
0.189	0.1312987	
0.191	0.1410873	
0.192	0.1519884	
0.194	0.1653921	
0.195	0.1818618	
0.197	0.2015043	
0.198	0.224443	
0.2	0.2521066	
0.201	0.2830167	
0.203	0.316833	
0.204	0.3539603	
0.206	0.3930151	
0.207	0.434821	
0.209	0.4793634	
0.21	0.5264198	
0.212	0.5757564	
0.213	0.6257911	
0.215	0.6765503	
0.216	0.7282956	
0.218	0.7801079	
0.219	0.8319793	
0.221	0.8836992	
0.222	0.9342709	
0.224	0.9836339	
0.225	1.032574	
0.227	1.07994	
0.228	1.124891	
0.23	1.167391	
0.231	1.208618	
0.233	1.248319	
0.234	1.284628	
0.236	1.318386	
0.237	1.351318	
0.239	1.384212	
0.24	1.415918	
0.242	1.445502	
0.243	1.474273	
0.245	1.502254	
0.246	1.529463	
0.248	1.555982	
0.249	1.5798	
0.251	1.601528	
0.252	1.622534	
0.254	1.642879	
0.255	1.661654	
0.257	1.679228	
0.258	1.695619	
0.26	1.710338	
0.261	1.723241	
0.263	1.734296	
0.264	1.74262	
0.266	1.749819	
0.267	1.7549	
0.269	1.756086	
0.27	1.753554	
0.272	1.747927	
0.273	1.739687	
0.275	1.726451	
0.276	1.708213	
0.278	1.686139	
0.279	1.660749	
0.281	1.632341	
0.282	1.600189	
0.284	1.565086	
0.285	1.527731	
0.287	1.488088	
0.288	1.449624	
0.29	1.411684	
0.291	1.369273	
0.293	1.325801	
0.294	1.281624	
0.296	1.236971	
0.297	1.193748	
0.299	1.151586	
0.3	1.110127	
0.302	1.070108	
0.303	1.031735	
0.305	0.9949807	
0.306	0.9597083	
0.308	0.9258764	
0.309	0.8938026	
0.311	0.8632854	
0.312	0.8343109	
0.314	0.8066856	
0.315	0.7807146	
0.317	0.7561105	
0.318	0.7323633	
0.32	0.7094761	
0.321	0.6872544	
0.323	0.6654362	
0.324	0.6452047	
0.326	0.6264263	
