Chrom.1		
UV		
ml	mAU	
0.001	0.02422275	
0.002	0.02463748	
0.004	0.0240315	
0.005	0.02533236	
0.007	0.02514926	
0.008	0.02512449	
0.01	0.02593739	
0.011	0.02651829	
0.013	0.02740026	
0.014	0.02723869	
0.016	0.02799457	
0.017	0.02841144	
0.019	0.03002672	
0.02	0.03173319	
0.022	0.03291477	
0.023	0.0342423	
0.025	0.03553065	
0.026	0.03628162	
0.028	0.03741602	
0.029	0.03809584	
0.031	0.03834952	
0.032	0.03919385	
0.034	0.03982792	
0.035	0.03963455	
0.037	0.03951453	
0.038	0.03961785	
0.04	0.03965969	
0.041	0.03966903	
0.043	0.03959392	
0.044	0.0397189	
0.046	0.04032166	
0.047	0.04127899	
0.049	0.0420228	
0.05	0.04252947	
0.052	0.04329952	
0.053	0.04419963	
0.055	0.04492417	
0.056	0.04594508	
0.058	0.04775636	
0.059	0.04854732	
0.061	0.0488517	
0.062	0.05013036	
0.064	0.05146162	
0.065	0.05248513	
0.067	0.05328439	
0.068	0.05350716	
0.07	0.05356489	
0.071	0.05427438	
0.073	0.05605423	
0.074	0.05747259	
0.076	0.05791577	
0.077	0.05764281	
0.079	0.05756256	
0.08	0.05768416	
0.082	0.05775779	
0.083	0.0581862	
0.085	0.05795036	
0.086	0.05663319	
0.088	0.05555596	
0.089	0.055374	
0.091	0.05507296	
0.092	0.05486527	
0.094	0.05435371	
0.095	0.05300183	
0.097	0.0615691	
0.098	0.09455342	
0.1	0.1267301	
0.101	0.1366954	
0.103	0.1367854	
0.104	0.1367007	
0.106	0.1371683	
0.107	0.1370087	
0.109	0.1367159	
0.11	0.1366132	
0.112	0.1357563	
0.113	0.1349761	
0.115	0.1350441	
0.116	0.1347576	
0.118	0.1340004	
0.119	0.1339065	
0.121	0.1337123	
0.122	0.1335289	
0.124	0.1333847	
0.125	0.1333618	
0.126	0.1327738	
0.128	0.1318557	
0.129	0.1317628	
0.131	0.131337	
0.132	0.1295932	
0.134	0.1279334	
0.135	0.12758	
0.137	0.1273798	
0.138	0.1274011	
0.14	0.1269457	
0.141	0.1258336	
0.143	0.1252964	
0.144	0.1245979	
0.146	0.1239865	
0.147	0.1230356	
0.149	0.1221326	
0.15	0.1219367	
0.152	0.1217597	
0.153	0.1216024	
0.155	0.1220318	
0.156	0.1223151	
0.158	0.1219185	
0.159	0.1222341	
0.161	0.1233752	
0.162	0.1240712	
0.164	0.1243166	
0.165	0.1247607	
0.167	0.1252397	
0.168	0.1253169	
0.17	0.1258218	
0.171	0.1164834	
0.173	0.08293834	
0.174	0.04978225	
0.176	0.03923814	
0.177	0.03827759	
0.179	0.03760401	
0.18	0.03720949	
0.182	0.0369843	
0.183	0.03621955	
0.185	0.03517601	
0.186	0.03485163	
0.188	0.03443948	
0.189	0.0338304	
0.191	0.03377045	
0.192	0.03386393	
0.194	0.03336717	
0.195	0.03241659	
0.197	0.03091498	
0.198	0.02943936	
0.2	0.02852088	
0.201	0.02782434	
0.203	0.02801092	
0.204	0.02823942	
0.206	0.02777318	
0.207	0.02723917	
0.209	0.02653936	
0.21	0.02646473	
0.212	0.02662337	
0.213	0.02628273	
0.215	0.02685963	
0.216	0.02821636	
0.218	0.02887144	
0.219	0.02911361	
0.221	0.02925113	
0.222	0.02927452	
0.224	0.02920812	
0.225	0.02947371	
0.227	0.03050469	
0.228	0.03109222	
0.23	0.03115966	
0.231	0.03122404	
0.233	0.03191369	
0.234	0.03220329	
0.236	0.03222563	
0.237	0.0327416	
0.239	0.03377434	
0.24	0.03440281	
0.242	0.03438468	
0.243	0.03464993	
0.245	0.03538865	
0.246	0.0363701	
0.248	0.03732225	
0.249	0.03704416	
0.251	0.03718897	
0.252	0.03801541	
0.254	0.03881533	
0.255	0.03927027	
0.257	0.04013544	
0.258	0.04200927	
0.26	0.04506965	
0.261	0.04789972	
0.263	0.05076828	
0.264	0.0542776	
0.266	0.05773396	
0.267	0.06122185	
0.269	0.06469996	
0.27	0.0683452	
0.272	0.07324382	
0.273	0.07872263	
0.275	0.08446235	
0.276	0.09080516	
0.278	0.09700749	
0.279	0.1025501	
0.281	0.1093703	
0.282	0.1177593	
0.284	0.1265408	
0.285	0.1345354	
0.287	0.1419788	
0.288	0.1491645	
0.29	0.1563793	
0.291	0.1641751	
0.293	0.1716695	
0.294	0.1801576	
0.296	0.1879871	
0.297	0.1947442	
0.299	0.202679	
0.3	0.2104623	
0.302	0.2172604	
0.303	0.2248361	
0.305	0.2330838	
0.306	0.2413293	
0.308	0.2495735	
0.309	0.2570148	
0.311	0.2650635	
0.312	0.2726195	
0.314	0.2800045	
0.315	0.2873237	
0.317	0.2952113	
0.318	0.3029686	
0.32	0.3100018	
0.321	0.3172764	
0.323	0.3247725	
0.324	0.3327432	
0.326	0.3397953	
0.327	0.3468967	
0.329	0.35423	
0.33	0.361333	
0.332	0.3681476	
0.333	0.373976	
0.335	0.3785096	
0.336	0.3832057	
0.338	0.3879614	
0.339	0.3919678	
0.341	0.3958183	
0.342	0.3994587	
0.344	0.4031318	
0.345	0.4063481	
0.347	0.4086209	
0.348	0.4097353	
0.35	0.4100516	
0.351	0.4105501	
0.353	0.4109533	
0.354	0.4110039	
0.356	0.410904	
0.357	0.4091708	
0.359	0.4073089	
0.36	0.4062336	
0.362	0.4048632	
0.363	0.4034016	
0.365	0.4015404	
0.366	0.3994945	
0.368	0.3978947	
0.369	0.3950148	
0.37	0.3912841	
0.372	0.388965	
0.373	0.3862588	
0.375	0.3837861	
0.376	0.3808442	
0.378	0.3779837	
0.379	0.3748556	
0.381	0.3712405	
0.382	0.367839	
0.384	0.3645599	
0.385	0.3609355	
0.387	0.3575258	
0.388	0.3541307	
0.39	0.351205	
0.391	0.3478383	
0.393	0.3442656	
0.394	0.3415799	
0.396	0.3380489	
0.397	0.3343588	
0.399	0.3305348	
0.4	0.3275447	
0.402	0.3247622	
0.403	0.3218544	
0.405	0.3191284	
0.406	0.316336	
0.408	0.3135933	
0.409	0.3110522	
0.411	0.3075405	
0.412	0.3040304	
0.414	0.3009968	
0.415	0.2979206	
0.417	0.2945593	
0.418	0.291893	
0.42	0.2893563	
0.421	0.2870157	
0.423	0.2852529	
0.424	0.2836965	
0.426	0.2804593	
0.427	0.2772063	
0.429	0.2750049	
0.43	0.2723379	
0.432	0.27065	
0.433	0.268416	
0.435	0.265796	
0.436	0.2636699	
0.438	0.2620371	
0.439	0.2603734	
0.441	0.2578799	
0.442	0.2550736	
0.444	0.2528018	
0.445	0.2508359	
0.447	0.2491976	
0.448	0.2468713	
0.45	0.2447192	
0.451	0.2430266	
0.453	0.2411455	
0.454	0.2390908	
0.456	0.2371357	
0.457	0.2358198	
0.459	0.2348081	
0.46	0.2329599	
0.462	0.2307662	
0.463	0.2296316	
0.465	0.2266594	
0.466	0.2247703	
0.468	0.2232706	
0.469	0.2211053	
0.471	0.2194441	
0.472	0.2180571	
0.474	0.2159202	
0.475	0.2138107	
0.477	0.2122461	
0.478	0.2101924	
0.48	0.2079092	
0.481	0.2051936	
0.483	0.2022851	
0.484	0.2001075	
0.486	0.1998329	
0.487	0.1986952	
0.489	0.1967841	
0.49	0.1948318	
0.492	0.1931178	
0.493	0.1916616	
0.495	0.1884315	
0.496	0.1860437	
0.498	0.1827207	
0.499	0.1802712	
0.501	0.1790426	
0.502	0.1772493	
0.504	0.1750632	
0.505	0.1727939	
0.507	0.1701237	
0.508	0.1678919	
0.51	0.1656059	
0.511	0.1635336	
0.513	0.1610401	
0.514	0.1592882	
0.516	0.1570454	
0.517	0.1550164	
0.519	0.1535204	
0.52	0.1525146	
0.522	0.150456	
0.523	0.1500156	
0.525	0.148645	
0.526	0.147466	
0.528	0.1456522	
0.529	0.1437976	
0.531	0.1436245	
0.532	0.1425121	
0.534	0.1408228	
0.535	0.1397208	
0.537	0.1395225	
0.538	0.1386744	
0.54	0.1382797	
0.541	0.1375919	
0.543	0.1365836	
0.544	0.1353967	
0.546	0.1337989	
0.547	0.1319245	
0.549	0.1307264	
0.55	0.129976	
0.552	0.1290177	
0.553	0.1292962	
0.555	0.1301835	
0.556	0.1307506	
0.558	0.1310814	
0.559	0.1312241	
0.561	0.1309154	
0.562	0.1307604	
0.564	0.1302826	
0.565	0.130076	
0.567	0.1302051	
0.568	0.1285044	
0.57	0.1285288	
0.571	0.1290009	
0.573	0.1293977	
0.574	0.1310836	
0.576	0.1305076	
0.577	0.1303313	
0.579	0.1306955	
0.58	0.1328657	
0.582	0.1342277	
0.583	0.1361535	
0.585	0.1357726	
0.586	0.1355303	
0.588	0.1346673	
0.589	0.1342155	
0.591	0.1340944	
0.592	0.1346034	
0.594	0.135203	
0.595	0.1352384	
0.597	0.1354813	
0.598	0.1352625	
0.6	0.1355168	
0.601	0.135144	
0.603	0.136076	
0.604	0.1375059	
0.606	0.1379301	
0.607	0.1367195	
0.609	0.1375162	
0.61	0.1368183	
0.612	0.1356189	
0.613	0.1352171	
0.614	0.1347524	
0.616	0.1339323	
0.617	0.1341414	
0.619	0.1341292	
0.62	0.1348019	
0.622	0.1364052	
0.623	0.1378746	
0.625	0.1382223	
0.626	0.1378263	
0.628	0.1363585	
0.629	0.1354741	
0.631	0.1351563	
0.632	0.1345873	
0.634	0.134509	
0.635	0.1341389	
0.637	0.1334427	
0.638	0.1339052	
0.64	0.1335153	
0.641	0.1330819	
0.643	0.1339613	
0.644	0.1348728	
0.646	0.1331407	
0.647	0.1336941	
0.649	0.1329479	
0.65	0.1332368	
0.652	0.1336462	
0.653	0.1319144	
0.655	0.1299179	
0.656	0.1285678	
0.658	0.1262327	
0.659	0.1268048	
0.661	0.1266459	
0.662	0.1261401	
0.664	0.1255174	
0.665	0.1252747	
0.667	0.1252147	
0.668	0.1242297	
0.67	0.1241556	
0.671	0.1244627	
0.673	0.1248699	
0.674	0.1245372	
0.676	0.1237316	
0.677	0.1227578	
0.679	0.1206006	
0.68	0.1187019	
0.682	0.1194759	
0.683	0.1181936	
0.685	0.1188757	
0.686	0.1199773	
0.688	0.119056	
0.689	0.1190444	
0.691	0.119125	
0.692	0.1187523	
0.694	0.1182169	
0.695	0.1168129	
0.697	0.1155517	
0.698	0.1149231	
0.7	0.1142099	
0.701	0.1137721	
0.703	0.1135608	
0.704	0.113124	
0.706	0.1128136	
0.707	0.1125599	
0.709	0.1112503	
0.71	0.1118958	
0.712	0.1114986	
0.713	0.1115654	
0.715	0.1119364	
0.716	0.1119056	
0.718	0.1109578	
0.719	0.1110246	
0.721	0.1116079	
0.722	0.111458	
0.724	0.1113862	
0.725	0.1110235	
0.727	0.1102585	
0.728	0.110774	
0.73	0.1107401	
0.731	0.1104418	
0.733	0.1104777	
0.734	0.1102684	
0.736	0.1096476	
0.737	0.1098715	
0.739	0.1100189	
0.74	0.1100473	
0.742	0.1088246	
0.743	0.1090811	
0.745	0.1079154	
0.746	0.1067332	
0.748	0.1057806	
0.749	0.1057002	
0.751	0.1052337	
0.752	0.1055241	
0.754	0.1056177	
0.755	0.105635	
0.757	0.1054125	
0.758	0.1065772	
0.76	0.1059625	
0.761	0.1065009	
0.763	0.107804	
0.764	0.1086333	
0.766	0.1092408	
0.767	0.1095636	
0.769	0.1096726	
0.77	0.1115606	
0.772	0.1118742	
0.773	0.1111892	
0.775	0.1108529	
0.776	0.1110731	
0.778	0.1113361	
0.779	0.1116142	
0.781	0.111266	
0.782	0.1114682	
0.784	0.1120311	
0.785	0.1106368	
0.787	0.1099795	
