Read 1:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.039	0.039	0.039	0.039	0.039	0.040	0.040	0.039	0.040	0.041	0.040	0.039	Read 1:350
B	0.045	0.041	0.041	0.042	0.041	0.042	0.042	0.042	0.041	0.040	0.041	0.041	Read 1:350
C	0.040	0.040	0.040	0.044	0.045	0.046	0.037	0.039	0.037	0.040	0.040	0.040	Read 1:350
D	0.040	0.040	0.040	0.040	0.041	0.041	0.033	0.033	0.033	0.033	0.034	0.034	Read 1:350
E	0.041	0.040	0.039	0.047	0.041	0.040	0.040	0.040	0.041	0.053	0.051	0.053	Read 1:350
F													Read 1:350
G													Read 1:350
H													Read 1:350

Read 3:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.103	0.103	0.103	0.167	0.173	0.180	0.098	0.091	0.100	0.118	0.113	0.111	Read 3:350
B	0.049	0.045	0.046	0.047	0.047	0.047	0.046	0.046	0.045	0.044	0.044	0.045	Read 3:350
C	0.102	0.102	0.104	0.129	0.132	0.136	0.100	0.108	0.103	0.187	0.185	0.189	Read 3:350
D	0.046	0.045	0.046	0.117	0.121	0.122	0.043	0.045	0.046	0.048	0.036	0.040	Read 3:350
E	0.077	0.076	0.077	0.154	0.148	0.147	0.161	0.160	0.168	0.166	0.162	0.168	Read 3:350
F													Read 3:350
G													Read 3:350
H													Read 3:350

Read 2:350

Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	0.036	0.037	0.037	0.107	0.108	0.123	0.036	0.035	0.036	0.038	0.037	0.037	0.042	0.038	0.038	0.040	0.038	0.039	0.039	0.039	0.037	0.037	0.037	0.038	0.038	0.038	0.037	0.071	0.072	0.071	0.038	0.037	0.038	0.097	0.091	0.092	0.038	0.037	0.038	0.038	0.039	0.039	0.035	0.035	0.035	0.035	0.035	0.035	0.039	0.039	0.037	0.078	0.072	0.066	0.038	0.037	0.039	0.126	0.111	0.112
0:00:20	0.035	0.036	0.036	0.123	0.125	0.139	0.034	0.034	0.035	0.036	0.035	0.036	0.041	0.037	0.037	0.038	0.037	0.037	0.038	0.037	0.036	0.035	0.036	0.037	0.037	0.037	0.036	0.074	0.075	0.078	0.037	0.036	0.037	0.115	0.106	0.113	0.037	0.036	0.036	0.036	0.037	0.037	0.034	0.034	0.034	0.034	0.034	0.035	0.037	0.037	0.036	0.075	0.076	0.076	0.037	0.036	0.038	0.119	0.107	0.116
0:00:40	0.035	0.035	0.036	0.136	0.141	0.150	0.034	0.034	0.035	0.036	0.035	0.036	0.041	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.036	0.036	0.035	0.080	0.079	0.083	0.037	0.035	0.036	0.127	0.123	0.126	0.036	0.035	0.036	0.036	0.037	0.037	0.033	0.034	0.034	0.034	0.034	0.034	0.037	0.037	0.035	0.082	0.083	0.084	0.038	0.037	0.038	0.116	0.108	0.119
0:01:00	0.035	0.035	0.036	0.145	0.151	0.158	0.034	0.034	0.035	0.036	0.035	0.036	0.040	0.037	0.036	0.038	0.037	0.037	0.037	0.037	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.084	0.084	0.087	0.037	0.035	0.036	0.136	0.134	0.135	0.036	0.035	0.035	0.036	0.037	0.036	0.033	0.034	0.033	0.033	0.034	0.034	0.037	0.036	0.035	0.090	0.088	0.089	0.038	0.037	0.039	0.120	0.110	0.123
0:01:20	0.035	0.035	0.036	0.152	0.157	0.165	0.034	0.034	0.035	0.036	0.035	0.036	0.040	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.035	0.035	0.036	0.037	0.036	0.036	0.035	0.087	0.088	0.091	0.037	0.035	0.036	0.142	0.141	0.141	0.036	0.035	0.035	0.036	0.037	0.036	0.033	0.034	0.033	0.034	0.034	0.034	0.037	0.036	0.035	0.097	0.093	0.094	0.039	0.038	0.040	0.121	0.111	0.125
0:01:40	0.035	0.036	0.036	0.157	0.163	0.170	0.034	0.034	0.035	0.036	0.035	0.036	0.040	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.090	0.091	0.095	0.037	0.035	0.037	0.148	0.146	0.147	0.036	0.035	0.036	0.036	0.037	0.037	0.033	0.034	0.034	0.034	0.034	0.034	0.037	0.037	0.035	0.102	0.097	0.097	0.040	0.039	0.041	0.124	0.113	0.127
0:02:00	0.035	0.035	0.036	0.161	0.167	0.173	0.034	0.034	0.035	0.036	0.035	0.036	0.040	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.037	0.036	0.036	0.035	0.092	0.093	0.097	0.037	0.035	0.036	0.153	0.149	0.151	0.036	0.035	0.035	0.036	0.037	0.036	0.033	0.034	0.033	0.033	0.034	0.034	0.037	0.036	0.035	0.106	0.100	0.100	0.041	0.040	0.042	0.125	0.114	0.128
0:02:20	0.035	0.035	0.036	0.166	0.170	0.177	0.034	0.034	0.035	0.036	0.035	0.036	0.041	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.094	0.095	0.098	0.037	0.035	0.037	0.156	0.153	0.154	0.036	0.035	0.036	0.036	0.037	0.037	0.034	0.034	0.034	0.034	0.034	0.034	0.037	0.036	0.035	0.110	0.102	0.103	0.042	0.041	0.043	0.127	0.115	0.128
0:02:40	0.035	0.035	0.036	0.169	0.172	0.179	0.034	0.034	0.035	0.036	0.035	0.036	0.041	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.096	0.097	0.100	0.037	0.036	0.037	0.160	0.155	0.157	0.036	0.035	0.036	0.036	0.037	0.037	0.034	0.034	0.034	0.034	0.034	0.034	0.037	0.036	0.035	0.112	0.105	0.105	0.043	0.043	0.044	0.128	0.116	0.129
0:03:00	0.035	0.035	0.036	0.171	0.175	0.182	0.034	0.034	0.035	0.036	0.035	0.036	0.041	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.097	0.098	0.101	0.037	0.035	0.036	0.162	0.157	0.160	0.036	0.035	0.035	0.036	0.037	0.037	0.033	0.034	0.033	0.034	0.034	0.034	0.037	0.036	0.035	0.113	0.106	0.107	0.044	0.044	0.046	0.128	0.116	0.129
