Read 1:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.043	0.041	0.043	0.039	0.039	0.035							Read 1:350
B	0.039	0.039	0.039	0.042	0.039	0.044							Read 1:350
C	0.039	0.041	0.041	0.040	0.040	0.044							Read 1:350
D	0.045	0.047	0.046	0.044	0.041	0.045							Read 1:350
E	0.044	0.041	0.043	0.042	0.046	0.058							Read 1:350
F	0.044	0.043	0.050	0.042	0.043	0.041							Read 1:350
G	0.042	0.038	0.040	0.040	0.042	0.042							Read 1:350
H	0.032	0.032	0.032	0.041	0.040	0.041							Read 1:350

Read 3:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.100	0.098	0.103	0.041	0.042	0.043							Read 3:350
B	0.089	0.088	0.089	0.100	0.093	0.100							Read 3:350
C	0.061	0.064	0.064	0.076	0.080	0.086							Read 3:350
D	0.049	0.051	0.051	0.049	0.047	0.050							Read 3:350
E	0.090	0.086	0.088	0.086	0.092	0.097							Read 3:350
F	0.051	0.056	0.052	0.078	0.075	0.076							Read 3:350
G	0.113	0.107	0.109	0.108	0.114	0.111							Read 3:350
H	0.035	0.035	0.035	0.145	0.129	0.106							Read 3:350

Read 2:350

Kinetic read	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6	E1	E2	E3	E4	E5	E6	F1	F2	F3	F4	F5	F6	G1	G2	G3	G4	G5	G6	H1	H2	H3	H4	H5	H6
0:00:00	0.038	0.038	0.043	0.035	0.036	0.036	0.035	0.035	0.035	0.041	0.036	0.041	0.036	0.038	0.038	0.036	0.037	0.045	0.040	0.042	0.042	0.040	0.037	0.044	0.039	0.039	0.041	0.039	0.043	0.065	0.046	0.040	0.046	0.038	0.037	0.037	0.037	0.036	0.038	0.036	0.039	0.039	0.032	0.032	0.032	0.227	0.178	0.106
0:00:16	0.037	0.038	0.043	0.035	0.035	0.036	0.035	0.035	0.035	0.041	0.036	0.041	0.036	0.038	0.038	0.036	0.036	0.045	0.039	0.042	0.042	0.040	0.037	0.044	0.038	0.039	0.041	0.039	0.043	0.063	0.045	0.040	0.046	0.038	0.037	0.037	0.037	0.036	0.038	0.036	0.039	0.039	0.032	0.032	0.032	0.229	0.179	0.144
0:00:32	0.037	0.038	0.043	0.035	0.035	0.036	0.035	0.035	0.035	0.040	0.035	0.041	0.036	0.037	0.038	0.036	0.037	0.045	0.039	0.042	0.042	0.040	0.037	0.044	0.038	0.038	0.041	0.039	0.043	0.063	0.045	0.040	0.046	0.038	0.037	0.037	0.037	0.035	0.038	0.036	0.038	0.039	0.032	0.032	0.032	0.229	0.180	0.147
0:00:48	0.038	0.038	0.042	0.035	0.036	0.036	0.035	0.035	0.035	0.040	0.036	0.041	0.036	0.038	0.038	0.036	0.037	0.045	0.039	0.042	0.042	0.040	0.037	0.044	0.038	0.038	0.041	0.039	0.043	0.062	0.045	0.040	0.046	0.038	0.037	0.037	0.037	0.036	0.038	0.036	0.038	0.039	0.032	0.032	0.032	0.229	0.179	0.147
0:01:04	0.038	0.038	0.042	0.035	0.035	0.036	0.035	0.035	0.035	0.040	0.035	0.041	0.036	0.037	0.038	0.036	0.037	0.045	0.039	0.042	0.042	0.040	0.037	0.044	0.038	0.038	0.041	0.039	0.043	0.062	0.044	0.040	0.046	0.038	0.037	0.037	0.037	0.036	0.038	0.036	0.038	0.039	0.032	0.032	0.032	0.229	0.181	0.147
0:01:20	0.038	0.038	0.043	0.035	0.036	0.036	0.035	0.035	0.035	0.040	0.036	0.041	0.036	0.038	0.038	0.036	0.037	0.045	0.039	0.042	0.042	0.040	0.037	0.044	0.039	0.038	0.041	0.039	0.043	0.061	0.044	0.040	0.046	0.038	0.037	0.037	0.037	0.036	0.038	0.036	0.038	0.039	0.032	0.032	0.032	0.230	0.184	0.145
0:01:36	0.038	0.038	0.043	0.035	0.036	0.036	0.035	0.035	0.035	0.040	0.036	0.041	0.036	0.038	0.038	0.036	0.037	0.044	0.039	0.042	0.042	0.040	0.037	0.044	0.038	0.039	0.041	0.039	0.043	0.060	0.044	0.040	0.046	0.038	0.037	0.037	0.037	0.036	0.038	0.036	0.038	0.039	0.032	0.032	0.032	0.230	0.182	0.145
0:01:52	0.038	0.038	0.042	0.035	0.036	0.036	0.035	0.035	0.035	0.040	0.036	0.041	0.036	0.038	0.038	0.036	0.037	0.044	0.039	0.042	0.042	0.040	0.037	0.044	0.038	0.038	0.041	0.039	0.043	0.060	0.044	0.040	0.046	0.038	0.037	0.037	0.037	0.036	0.038	0.036	0.038	0.039	0.032	0.032	0.032	0.229	0.179	0.145
0:02:08	0.038	0.038	0.042	0.035	0.036	0.036	0.035	0.035	0.035	0.040	0.036	0.041	0.036	0.038	0.038	0.036	0.037	0.045	0.039	0.042	0.042	0.040	0.037	0.044	0.039	0.039	0.041	0.039	0.043	0.060	0.044	0.040	0.046	0.038	0.038	0.037	0.037	0.036	0.038	0.036	0.039	0.040	0.032	0.032	0.032	0.229	0.181	0.147
0:02:24	0.038	0.038	0.042	0.035	0.036	0.036	0.035	0.035	0.035	0.040	0.036	0.041	0.036	0.038	0.038	0.036	0.037	0.045	0.040	0.042	0.042	0.040	0.037	0.044	0.038	0.039	0.041	0.039	0.043	0.059	0.044	0.040	0.046	0.038	0.038	0.037	0.037	0.036	0.038	0.036	0.039	0.040	0.032	0.032	0.032	0.229	0.181	0.146
